gid,n_sectors,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17
1185,18,2.128,16.393,9.615,16.216,19.048,5.000,11.765,10.667,13.253,4.615,7.692,12.500,0.000,0.000,0.000,0.000,0.000,0.000
1186,18,11.494,17.308,21.569,17.742,24.286,10.714,14.815,20.710,20.359,17.021,16.149,8.333,24.658,17.647,27.132,18.605,20.000,12.987
1187,18,28.750,27.778,31.288,24.581,26.437,23.684,7.843,9.559,11.628,9.774,13.445,7.143,31.068,42.222,36.364,41.270,37.696,26.804
1188,18,0.000,0.000,0.000,0.000,0.000,0.000,41.463,34.848,24.051,33.784,30.435,20.690,0.000,0.000,0.000,0.000,0.000,0.000
1189,18,42.623,34.756,33.607,44.966,36.364,27.937,64.474,51.754,50.000,51.351,48.630,24.299,64.444,56.000,57.627,47.619,45.536,23.077
1190,18,37.500,10.000,0.000,0.000,0.000,0.000,0.000,9.091,0.000,0.000,0.000,0.000,7.143,0.000,0.000,0.000,0.000,0.000
1217,18,0.000,33.333,20.000,18.919,31.304,24.528,27.108,21.121,22.120,23.636,22.449,20.192,10.309,10.734,11.656,13.492,11.765,0.000
1218,18,23.902,25.610,21.678,11.858,11.927,9.302,43.318,45.821,37.391,40.469,34.914,33.125,55.191,46.801,46.816,42.358,44.000,40.152
1219,18,15.854,21.162,14.407,13.253,14.078,9.884,5.263,23.810,11.111,17.308,32.258,24.405,19.588,16.827,19.324,14.286,14.286,16.031
1220,18,73.281,75.728,77.224,72.159,69.528,59.259,77.104,75.450,77.245,73.186,67.323,58.261,75.806,80.654,83.211,80.534,70.982,61.062
1221,18,73.146,78.723,75.597,70.549,65.543,53.521,84.783,90.438,88.559,81.679,62.963,58.378,44.444,42.857,80.000,62.264,67.683,54.545
1222,18,84.615,85.375,87.607,86.446,78.261,0.000,80.833,83.518,82.228,78.246,80.292,0.000,69.822,70.260,66.088,67.419,59.292,50.000
1249,18,18.293,8.000,11.927,6.667,0.000,3.226,0.000,0.000,0.000,0.000,0.000,0.000,6.383,20.000,23.718,29.218,24.658,28.169
1250,18,18.750,21.951,20.641,22.414,19.137,17.302,0.000,21.739,16.456,12.727,10.000,18.028,18.182,21.014,24.123,22.874,23.381,26.871
1251,18,25.714,16.667,21.586,22.796,25.753,22.849,33.333,0.000,7.692,21.053,18.182,6.818,38.462,28.571,33.854,43.902,43.214,38.961
1252,18,15.385,47.761,67.210,70.745,73.442,73.011,13.333,30.137,52.871,60.676,58.740,63.500,10.000,41.667,71.358,76.898,71.919,73.556
1253,18,3.846,39.744,69.231,68.131,71.488,70.790,28.571,37.500,60.920,70.833,75.664,72.851,0.000,40.000,33.333,50.000,45.455,25.000
1254,18,22.222,56.522,73.171,77.399,80.287,80.350,0.000,54.545,65.534,72.260,74.232,74.250,11.111,48.148,64.730,68.202,72.222,72.160
1281,18,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000,0.694,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.792
1282,18,0.000,0.000,0.000,0.000,0.000,8.485,0.000,0.000,0.000,0.000,0.000,8.621,0.000,0.552,0.000,0.000,0.549,7.527
1283,18,0.000,0.000,0.000,0.000,0.000,13.592,5.882,0.000,0.000,0.000,0.000,7.692,0.637,0.000,0.476,0.000,0.000,11.828
1284,18,6.667,0.000,0.000,0.000,0.000,15.789,0.000,0.000,0.000,0.000,0.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000
1285,18,0.000,0.000,0.000,0.000,0.000,4.386,0.000,0.000,16.667,0.000,5.263,7.407,0.000,0.000,0.000,0.000,0.000,0.000
1286,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1313,18,0.000,1.852,0.000,0.000,4.545,0.000,0.000,0.000,4.545,3.571,2.703,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1314,18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1315,18,0.000,0.000,0.000,0.000,0.000,2.041,1.031,0.763,0.000,0.000,6.667,0.000,0.000,0.000,0.000,0.000,0.000,1.538
1316,18,27.674,8.600,3.333,1.961,1.852,0.000,23.855,7.386,4.110,2.941,2.083,0.000,42.857,0.000,0.000,0.000,0.000,0.000
1317,18,48.961,23.270,4.255,7.692,0.000,0.000,41.374,23.368,2.703,0.000,0.000,0.000,37.386,21.460,1.980,0.000,2.326,0.000
1318,18,64.000,35.135,11.905,14.286,7.692,0.000,48.077,28.477,7.692,6.061,2.703,0.000,55.030,27.439,10.127,11.111,0.000,7.692
